,book_id,page_count,price_online,price_offline
0,10893153,320.0,645.0,679
1,10949548,304.0,835.0,879
2,10894146,256.0,626.0,659
3,10889085,624.0,2285.0,2689
4,10275510,701.0,626.0,659
5,10044586,828.0,588.0,619
6,10954665,736.0,1006.0,1059
7,10950251,704.0,329.0,329
8,10905455,320.0,499.0,499
9,10482562,480.0,239.0,239
10,10918952,352.0,1430.0,1589
11,10902606,768.0,909.0,909
12,10917779,608.0,609.0,609
13,10887280,320.0,639.0,639
14,10886876,832.0,409.0,409
15,10864741,352.0,739.0,739
16,10835727,384.0,409.0,409
17,10747756,248.0,2685.0,3159
18,10633838,199.0,499.0,499
19,10623698,160.0,379.0,379
20,10508702,640.0,239.0,239
21,10388795,380.0,209.0,209
22,10182039,349.0,189.0,189
23,10954876,256.0,199.0,199
24,10955074,448.0,1395.0,1469
25,10951131,320.0,279.0,279
26,10938595,416.0,835.0,879
27,10949647,288.0,289.0,289
28,10948865,288.0,209.0,209
29,10949079,416.0,299.0,299
30,10945742,320.0,209.0,209
31,10946670,838.0,635.0,669
32,10943203,384.0,319.0,319
33,10943220,320.0,219.0,219
34,10939833,384.0,299.0,299
35,10938654,384.0,169.0,169
36,10938661,336.0,169.0,169
37,10937800,592.0,779.0,779
38,10937516,448.0,692.0,729
39,10937514,384.0,159.0,159
40,10937465,480.0,159.0,159
41,10937008,416.0,319.0,319
42,10936570,368.0,949.0,999
43,10936315,192.0,825.0,869
44,10936555,216.0,825.0,869
45,10931516,416.0,259.0,259
46,10929477,256.0,289.0,289
47,10928978,256.0,239.0,239
48,10928085,416.0,189.0,189
49,10927129,384.0,259.0,259
50,10927143,384.0,289.0,289
51,10925431,384.0,239.0,239
52,10921307,704.0,409.0,409
53,10920950,384.0,269.0,269
54,10918502,384.0,550.0,579
55,10918488,288.0,645.0,679
56,10917821,288.0,229.0,229
57,10917832,320.0,329.0,329
58,10904391,160.0,1909.0,1909
59,10914195,352.0,339.0,339
60,10908827,48.0,259.0,259
61,10906628,256.0,209.0,209
62,10904290,864.0,759.0,799
63,10903185,800.0,806.0,849
64,10902096,352.0,319.0,319
